,Cities
0,mataura
1,belushya%20guba
2,sao%20joao%20da%20barra
3,hit
4,portland
5,noumea
6,mahebourg
7,mount%20gambier
8,uvat
9,nikolskoye
10,skagastrond
11,barentsburg
12,ushuaia
13,arraial%20do%20cabo
14,rikitea
15,coquimbo
16,arica
17,quatre%20cocos
18,meulaboh
19,albany
20,sheksna
21,hermanus
22,broken%20hill
23,mildura
24,ngukurr
25,cotonou
26,cabo%20san%20lucas
27,port%20lincoln
28,atuona
29,cairns
30,kashima
31,abha
32,warrnambool
33,coihaique
34,chokurdakh
35,tasiilaq
36,penzance
37,kapaa
38,east%20london
39,asfi
40,cape%20town
41,bonavista
42,taolanaro
43,ulety
44,chivay
45,hafizabad
46,butaritari
47,bluff
48,ilulissat
49,qaanaaq
50,los%20llanos%20de%20aridane
51,wanaka
52,yellowknife
53,grand%20gaube
54,mys%20shmidta
55,hilo
56,pierre
57,goranboy
58,thompson
59,tsiroanomandidy
60,ayan
61,sentyabrskiy
62,eydhafushi
63,garlasco
64,talnakh
65,shirokiy
66,toropets
67,busselton
68,cap%20malheureux
69,upernavik
70,osmaniye
71,aswan
72,kaitangata
73,avarua
74,vaini
75,hobart
76,miri
77,mayor%20pablo%20lagerenza
78,gubkinskiy
79,dubbo
80,mar%20del%20plata
81,ribeira%20grande
82,klaksvik
83,sangin
84,awjilah
85,nanortalik
86,saldanha
87,faanui
88,ivangorod
89,kruisfontein
90,port%20alfred
91,yuksekova
92,biltine
93,raga
94,petropavlovsk-kamchatskiy
95,castro
96,amderma
97,ocampo
98,dudinka
99,mercedes
100,kladanj
101,chandbali
102,chicama
103,cidreira
104,panacan
105,arlit
106,port%20elizabeth
107,rio%20tuba
108,chumphon
109,jamestown
110,victoria
111,falealupo
112,codrington
113,puerto%20ayora
114,albertville
115,georgetown
116,komsomolskiy
117,college
118,antiguo%20morelos
119,dikson
120,pevek
121,liverpool
122,dingle
123,qaqortoq
124,atar
125,mount%20isa
126,chuy
127,glasgow
128,tautira
129,margate
130,poum
131,oktyabrskiy
132,tura
133,hay%20river
134,namibe
135,punta%20arenas
136,geraldton
137,nizhneyansk
138,bredasdorp
139,illoqqortoormiut
140,jobat
141,bethel
142,vestmannaeyjar
143,sokol
144,tutoia
145,umzimvubu
146,takoradi
147,spring%20valley
148,tuktoyaktuk
149,torbay
150,aurdal
151,saint-philippe
152,necochea
153,vaitupu
154,ponta%20do%20sol
155,touros
156,barawe
157,maningrida
158,gympie
159,saint-augustin
160,huarmey
161,joutseno
162,laurel
163,esperance
164,te%20anau
165,bonthe
166,provideniya
167,georgiyevka
168,kargapolye
169,sao%20filipe
170,sobolevo
171,luderitz
172,romitan
173,kiama
174,barrow
175,husavik
176,cherskiy
177,launceston
178,dwarka
179,nyurba
180,mitsamiouli
181,deputatskiy
182,clyde%20river
183,yola
184,suslovo
185,vao
186,san%20policarpo
187,todos%20santos
188,vila%20velha
189,savinka
190,san%20cristobal
191,tumannyy
192,laguna
193,narsaq
194,nome
195,katha
196,tiarei
197,yumen
198,rawson
